,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
224,Mario Vrančić\Mario-Vrancic,ba BIH,MF,Norwich City,30,1989,12,4,384,1,0,0,0,2,0,0.23,0.00,0.23,0.23,0.23,1.6,1.6,0.9,0.37,0.21,0.57,0.37,0.57,Matches
225,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Everton,30,1989,21,14,1063,1,2,0,0,1,0,0.08,0.17,0.25,0.08,0.25,2.3,2.3,1.7,0.19,0.14,0.34,0.19,0.34,Matches
226,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,29,1990,21,21,1807,1,2,0,0,4,0,0.05,0.10,0.15,0.05,0.15,0.8,0.8,1.5,0.04,0.07,0.11,0.04,0.11,Matches
227,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,26,1993,6,0,96,1,1,0,0,0,0,0.94,0.94,1.87,0.94,1.87,1.4,1.4,0.6,1.32,0.53,1.85,1.32,1.85,Matches
228,Brandon Williams\Brandon-Williams,eng ENG,DF,Manchester Utd,18,2000,12,9,758,1,0,0,0,5,0,0.12,0.00,0.12,0.12,0.12,0.5,0.5,0.4,0.06,0.05,0.12,0.06,0.12,Matches
229,DeAndre Yedlin\DeAndre-Yedlin,us USA,DF,Newcastle Utd,26,1993,12,8,775,1,0,0,0,3,0,0.12,0.00,0.12,0.12,0.12,0.7,0.7,0.2,0.08,0.03,0.11,0.08,0.11,Matches
230,Max Aarons\Max-Aarons,eng ENG,DF,Norwich City,19,2000,27,27,2430,0,1,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.5,0.5,3.5,0.02,0.13,0.15,0.02,0.15,Matches
231,Che Adams\Che-Adams,eng ENG,FW,Southampton,23,1996,22,8,731,0,2,0,0,0,0,0.00,0.25,0.25,0.00,0.25,1.9,1.9,0.9,0.23,0.11,0.34,0.23,0.34,Matches
232,Adrián\Adrian,es ESP,GK,Liverpool,32,1987,11,9,875,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
233,Albian Ajeti\Albian-Ajeti,ch SUI,MFFW,West Ham,22,1997,8,0,134,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,Matches
234,Marc Albrighton\Marc-Albrighton,eng ENG,MF,Leicester City,29,1989,14,3,486,0,3,0,0,1,0,0.00,0.56,0.56,0.00,0.56,0.3,0.3,1.2,0.06,0.23,0.29,0.06,0.29,Matches
235,Alisson\Alisson,br BRA,GK,Liverpool,26,1992,20,20,1733,0,1,0,0,0,1,0.00,0.05,0.05,0.00,0.05,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
236,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,20,1998,19,12,1188,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,0.08,0.05,0.14,0.08,0.14,Matches
237,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,26,1993,11,8,759,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,0.12,0.01,0.13,0.12,0.13,Matches
238,Angeliño\Angelino,es ESP,DF,Manchester City,22,1997,6,4,423,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.2,0.05,0.25,0.30,0.05,0.30,Matches
239,Faustino Anjorin\Faustino-Anjorin,eng ENG,FW,Chelsea,17,2001,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
240,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,24,1994,25,25,2250,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
241,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,27,1992,18,6,742,0,3,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.2,0.2,1.0,0.03,0.12,0.14,0.03,0.14,Matches
242,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,25,1994,2,1,103,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
243,Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,34,1984,5,3,334,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.01,0.18,0.20,0.01,0.20,Matches
244,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,34,1985,14,14,1260,0,1,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.3,0.01,0.02,0.04,0.01,0.04,Matches
245,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,25,1993,13,8,675,0,3,0,0,0,0,0.00,0.40,0.40,0.00,0.40,1.8,1.8,2.2,0.23,0.29,0.52,0.23,0.52,Matches
246,Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,31,1988,28,28,2432,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,0.02,0.03,0.05,0.02,0.05,Matches
247,Borja Bastón\Borja-Baston,es ESP,MFFW,Aston Villa,26,1992,2,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
248,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,11,7,606,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
249,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Newcastle Utd,24,1994,3,3,270,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.05,0.06,0.01,0.06,Matches
250,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,21,1998,4,3,208,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches
251,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,10,6,542,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.05,0.03,0.08,0.05,0.08,Matches
252,Muhamed Bešić\Muhamed-Besic,ba BIH,MF,Sheffield Utd,26,1992,9,2,250,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.05,0.03,0.08,0.05,0.08,Matches
253,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,13,8,668,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
254,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,13,13,1169,0,1,0,0,3,1,0.00,0.08,0.08,0.00,0.08,0.0,0.0,0.3,0.00,0.03,0.03,0.00,0.03,Matches
255,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,31,1988,4,0,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.20,0.20,0.00,0.20,Matches
256,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,25,1993,19,8,762,0,2,0,0,2,0,0.00,0.24,0.24,0.00,0.24,1.0,1.0,2.6,0.11,0.31,0.42,0.11,0.42,Matches
257,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,4,3,347,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
258,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,17,2001,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
259,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,23,1995,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
260,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,22,1996,28,22,2017,0,7,0,0,4,0,0.00,0.31,0.31,0.00,0.31,2.0,2.0,6.9,0.09,0.31,0.40,0.09,0.40,Matches
261,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,25,25,2147,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,0.03,0.04,0.08,0.03,0.08,Matches
262,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,25,1993,17,15,1293,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
263,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
264,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,20,20,1800,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,0.9,0.9,0.3,0.05,0.01,0.06,0.05,0.06,Matches
265,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
266,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,11,8,785,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,0.02,0.12,0.15,0.02,0.15,Matches
267,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,24,24,2138,0,2,0,0,7,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,1.8,0.03,0.08,0.11,0.03,0.11,Matches
268,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,13,4,516,0,3,0,0,1,0,0.00,0.52,0.52,0.00,0.52,0.5,0.5,1.6,0.08,0.27,0.35,0.08,0.35,Matches
269,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,27,27,2353,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matches
270,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,14,10,908,0,2,0,0,0,0,0.00,0.20,0.20,0.00,0.20,0.4,0.4,0.9,0.04,0.09,0.13,0.04,0.13,Matches
271,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,MF,Watford,24,1994,15,9,776,0,1,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12,Matches
272,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,3,0,37,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.15,0.00,0.15,0.15,0.15,Matches
273,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,15,15,1256,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,0.04,0.04,0.07,0.04,0.07,Matches
274,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,2.62,0.00,2.62,2.62,2.62,Matches
275,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,29,29,2610,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.02,0.02,0.00,0.02,Matches
276,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,18,14,1193,0,1,0,0,5,1,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.6,0.04,0.04,0.08,0.04,0.08,Matches
277,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,20,11,1009,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.02,0.07,0.09,0.02,0.09,Matches
278,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,27,27,2364,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
279,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,4,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.20,0.00,0.20,0.20,0.20,Matches
280,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,2,2,126,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.05,0.05,0.00,0.05,Matches
281,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,9,7,636,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,0.2,0.02,0.03,0.06,0.02,0.06,Matches
282,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,6,3,277,0,1,0,0,2,1,0.00,0.32,0.32,0.00,0.32,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
283,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,9,7,631,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.02,0.06,0.08,0.02,0.08,Matches
284,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,8,0,137,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.48,0.05,0.53,0.48,0.53,Matches
285,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,20,17,1551,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.05,0.00,0.05,0.05,0.05,Matches
286,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,16,13,1190,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.00,0.03,0.03,0.00,0.03,Matches
287,Eric Dier\Eric-Dier,eng ENG,MFDF,Tottenham,25,1994,14,10,894,0,2,0,0,4,0,0.00,0.20,0.20,0.00,0.20,0.9,0.9,0.1,0.09,0.01,0.10,0.09,0.10,Matches
288,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,26,26,2241,0,5,0,0,2,0,0.00,0.20,0.20,0.00,0.20,1.1,1.1,4.6,0.04,0.18,0.23,0.04,0.23,Matches
289,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,4,4,259,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.04,0.01,0.05,0.04,0.05,Matches
290,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,58,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
291,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,29,29,2610,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
292,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,7,7,577,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,0.11,0.15,0.27,0.11,0.27,Matches
293,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,16,14,1228,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
294,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,25,25,2171,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
295,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,27,27,2418,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.1,0.05,0.00,0.06,0.05,0.06,Matches
296,Harvey Elliot\Harvey-Elliot,eng ENG,FW,Liverpool,,,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
297,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,12,8,767,0,1,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,1.2,0.03,0.14,0.17,0.03,0.17,Matches
298,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,16,16,1307,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
299,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,1,1,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
300,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,19,17,1526,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.2,0.01,0.07,0.07,0.01,0.07,Matches
301,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,4,0,44,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.29,0.35,0.06,0.35,Matches
302,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,23,22,1996,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.3,0.04,0.01,0.05,0.04,0.05,Matches
303,Phil Foden\Phil-Foden,eng ENG,MFFW,Manchester City,19,2000,14,3,363,0,1,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.4,0.4,0.5,0.11,0.14,0.24,0.11,0.24,Matches
304,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,29,29,2610,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.00,0.00,0.00,0.00,0.00,Matches
305,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,3,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
306,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,4,1,68,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
307,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,15,10,969,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches
308,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,25,22,2029,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,2.7,0.07,0.12,0.20,0.07,0.20,Matches
309,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,20,19,1687,0,2,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,1.5,0.00,0.08,0.08,0.00,0.08,Matches
310,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,9,3,326,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.07,0.09,0.01,0.09,Matches
311,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8,7,634,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
312,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,6,2,272,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
313,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
314,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,12,4,384,0,1,0,0,1,0,0.00,0.23,0.23,0.00,0.23,2.4,2.4,0.2,0.55,0.05,0.60,0.55,0.60,Matches
315,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,18,17,1613,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.00,0.02,0.02,0.00,0.02,Matches
316,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,2,1,136,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
317,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,29,29,2610,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
318,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,4,1,125,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.06,0.06,0.13,0.06,0.13,Matches
319,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,3,1,101,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.07,0.12,0.05,0.12,Matches
320,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,21,21,1834,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.03,0.00,0.03,0.03,0.03,Matches
321,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,11,9,787,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.03,0.05,0.07,0.03,0.07,Matches
322,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.66,0.66,0.00,0.66,Matches
323,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,19,14,1281,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
324,Anthony Gordon\Anthony-Gordon,eng ENG,MFFW,Everton,18,2001,2,0,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.23,0.00,0.23,0.23,0.23,Matches
325,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,9,4,409,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.15,0.03,0.18,0.15,0.18,Matches
326,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,27,27,2430,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
327,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,22,17,1592,0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,1.1,0.03,0.06,0.09,0.03,0.09,Matches
328,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,23,21,1900,0,2,0,0,7,0,0.00,0.09,0.09,0.00,0.09,0.3,0.3,1.4,0.01,0.07,0.08,0.01,0.08,Matches
329,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
330,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,15,14,1262,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.04,0.00,0.04,0.04,0.04,Matches
331,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.06,0.00,0.06,0.06,0.06,Matches
332,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
333,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,27,27,2430,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
334,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
335,Rob Holding\Rob-Holding,eng ENG,DFFW,Arsenal,23,1995,2,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,12,11,1005,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.04,0.07,0.10,0.04,0.10,Matches
337,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22,19,1734,0,3,0,0,4,0,0.00,0.16,0.16,0.00,0.16,2.2,2.2,0.5,0.12,0.03,0.14,0.12,0.14,Matches
338,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,2,0,33,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
339,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,28,27,2448,0,1,0,0,5,0,0.00,0.04,0.04,0.00,0.04,2.2,2.2,1.8,0.08,0.07,0.15,0.08,0.15,Matches
340,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,2,0,50,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
341,Adam Idah\Adam-Idah,ie IRL,FW,Norwich City,18,2001,3,1,69,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
342,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,4,0,34,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,2.87,0.21,3.08,2.87,3.08,Matches
