,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls▼,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
51,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,29,29,2610,4,1,0,0,1,0,0.14,0.03,0.17,0.14,0.17,2.0,2.0,1.0,0.07,0.03,0.10,0.07,0.10,Matches
52,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,27,24,2149,4,1,0,0,1,0,0.17,0.04,0.21,0.17,0.21,4.7,4.7,0.8,0.20,0.03,0.23,0.20,0.23,Matches
53,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,28,28,2443,4,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,4.1,4.1,2.6,0.15,0.10,0.25,0.15,0.25,Matches
54,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,25,21,1675,4,4,1,1,3,0,0.21,0.21,0.43,0.16,0.38,5.5,4.7,2.5,0.29,0.14,0.43,0.25,0.39,Matches
55,Jorginho\Jorginho,it ITA,MF,Chelsea,27,1991,26,23,2011,4,2,3,3,10,0,0.18,0.09,0.27,0.04,0.13,3.5,1.2,2.2,0.16,0.10,0.26,0.05,0.15,Matches
56,Joshua King\Joshua-King,no NOR,FWMF,Bournemouth,27,1992,19,17,1462,4,2,1,1,0,0,0.25,0.12,0.37,0.18,0.31,4.8,4.0,2.7,0.29,0.17,0.46,0.25,0.41,Matches
57,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,25,1994,27,23,2068,4,3,0,0,4,0,0.17,0.13,0.30,0.17,0.30,4.3,4.3,2.6,0.19,0.11,0.30,0.19,0.30,Matches
58,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,23,1996,26,15,1437,4,0,0,0,3,0,0.25,0.00,0.25,0.25,0.25,6.9,6.9,1.2,0.43,0.08,0.51,0.43,0.51,Matches
59,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,22,1996,20,18,1547,4,1,0,0,2,0,0.23,0.06,0.29,0.23,0.29,1.4,1.4,0.7,0.08,0.04,0.12,0.08,0.12,Matches
60,Lucas Moura\Lucas-Moura,br BRA,FWMF,Tottenham,26,1992,27,18,1682,4,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,5.4,5.4,1.7,0.29,0.09,0.38,0.29,0.38,Matches
