,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG▼,npxG+xA,Matches
63,Piotr Zieliński\Piotr-Zielinski,pl POL,MF,Napoli,25,1994,26,23,2154,2,3,0,0,4,0,0.08,0.13,0.21,0.08,0.21,2.7,2.7,2.0,0.11,0.08,0.20,0.11,0.20,Matches
64,Dimitri Bisoli\Dimitri-Bisoli,it ITA,MF,Brescia,25,1994,25,24,2152,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,2.6,2.6,2.9,0.11,0.12,0.23,0.11,0.23,Matches
65,Rômulo\Romulo,it ITA,MF,Brescia,32,1987,20,19,1679,1,3,0,0,3,0,0.05,0.16,0.21,0.05,0.21,2.1,2.1,1.2,0.11,0.07,0.18,0.11,0.18,Matches
66,Andrea Poli\Andrea-Poli,it ITA,MF,Bologna,29,1989,23,20,1719,2,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,2.0,2.0,1.5,0.11,0.08,0.18,0.11,0.18,Matches
67,Espeto\Espeto,br BRA,DF,SPAL,22,1997,20,16,1401,1,2,0,0,7,1,0.06,0.13,0.19,0.06,0.19,1.8,1.8,1.0,0.11,0.06,0.18,0.11,0.18,Matches
68,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Torino,31,1988,19,18,1543,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,0.8,0.11,0.05,0.15,0.11,0.15,Matches
69,Arkadiusz Reca\Arkadiusz-Reca,pl POL,DF,SPAL,24,1995,18,18,1505,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,1.8,1.8,1.5,0.11,0.09,0.20,0.11,0.20,Matches
70,Seko Fofana\Seko-Fofana,ci CIV,MF,Udinese,24,1995,21,16,1458,1,4,0,0,2,0,0.06,0.25,0.31,0.06,0.31,1.7,1.7,2.4,0.11,0.15,0.26,0.11,0.26,Matches
71,Theo Hernández\Theo-Hernandez,fr FRA,DF,Milan,21,1997,22,21,1909,5,2,0,0,8,0,0.24,0.09,0.33,0.24,0.33,2.1,2.1,3.0,0.10,0.14,0.24,0.10,0.24,Matches
72,Jhon Chancellor\Jhon-Chancellor,ve VEN,DF,Brescia,27,1992,23,23,2019,3,0,0,0,3,0,0.13,0.00,0.13,0.13,0.13,2.1,2.1,0.0,0.10,0.00,0.10,0.10,0.10,Matches
73,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,29,1990,21,21,1890,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,2.0,2.0,1.2,0.10,0.06,0.15,0.10,0.15,Matches
74,Rafael Tolói\Rafael-Toloi,br BRA,DF,Atalanta,28,1990,22,20,1832,1,5,0,0,5,0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,1.8,0.10,0.09,0.18,0.10,0.18,Matches
75,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,19,1999,20,17,1653,2,0,0,0,4,0,0.11,0.00,0.11,0.11,0.11,1.8,1.8,0.1,0.10,0.00,0.10,0.10,0.10,Matches
76,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,24,1995,19,17,1425,1,0,0,0,6,0,0.06,0.00,0.06,0.06,0.06,1.6,1.6,1.0,0.10,0.06,0.16,0.10,0.16,Matches
77,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,32,1986,16,14,1173,4,3,0,0,7,0,0.31,0.23,0.54,0.31,0.54,1.3,1.3,1.9,0.10,0.14,0.24,0.10,0.24,Matches
78,Alessandro Murgia\Alessandro-Murgia,it ITA,MF,SPAL,22,1996,17,12,1170,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,1.3,1.3,1.6,0.10,0.12,0.23,0.10,0.23,Matches
